
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:15,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:16,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:17,18/02/2023,Present
('2',),('5',), ('FDSFDSV',),('Computer',) ,10:25:17,18/02/2023,Present
